Year,Gender,Education,Income,Population
2008,Male,< high school,No Income,261172
2008,Male,< high school,"[5k,10k)",163263
2008,Male,< high school,"[10k,15k)",317119
2008,Male,< high school,"[15k,25k)",573769
2008,Male,< high school,"[25k,35k)",333713
2008,Male,< high school,"[35k,50k)",222761
2008,Male,< high school,"[50k,75k)",109200
2008,Male,< high school,"[75k,inf)",44291
2008,Male,High school or equivalent,No Income,296555
2008,Male,High school or equivalent,"[5k,10k)",187833
2008,Male,High school or equivalent,"[10k,15k)",229724
2008,Male,High school or equivalent,"[15k,25k)",501296
2008,Male,High school or equivalent,"[25k,35k)",433340
2008,Male,High school or equivalent,"[35k,50k)",472466
2008,Male,High school or equivalent,"[50k,75k)",424046
2008,Male,High school or equivalent,"[75k,inf)",175104
2008,Male,College (<4year),No Income,237810
2008,Male,College (<4year),"[5k,10k)",211318
2008,Male,College (<4year),"[10k,15k)",224732
2008,Male,College (<4year),"[15k,25k)",416638
2008,Male,College (<4year),"[25k,35k)",418686
2008,Male,College (<4year),"[35k,50k)",539958
2008,Male,College (<4year),"[50k,75k)",591795
2008,Male,College (<4year),"[75k,inf)",478470
2008,Male,>=Bachelor,No Income,94464
2008,Male,>=Bachelor,"[5k,10k)",52069
2008,Male,>=Bachelor,"[10k,15k)",88070
2008,Male,>=Bachelor,"[15k,25k)",201443
2008,Male,>=Bachelor,"[25k,35k)",236263
2008,Male,>=Bachelor,"[35k,50k)",387555
2008,Male,>=Bachelor,"[50k,75k)",690627
2008,Male,>=Bachelor,"[75k,inf)",1456566
2008,Female,< high school,No Income,740143
2008,Female,< high school,"[5k,10k)",252509
2008,Female,< high school,"[10k,15k)",229721
2008,Female,< high school,"[15k,25k)",317043
2008,Female,< high school,"[25k,35k)",93849
2008,Female,< high school,"[35k,50k)",51599
2008,Female,< high school,"[50k,75k)",15192
2008,Female,< high school,"[75k,inf)",4233
2008,Female,High school or equivalent,No Income,528876
2008,Female,High school or equivalent,"[5k,10k)",241389
2008,Female,High school or equivalent,"[10k,15k)",241913
2008,Female,High school or equivalent,"[15k,25k)",420710
2008,Female,High school or equivalent,"[25k,35k)",293265
2008,Female,High school or equivalent,"[35k,50k)",249327
2008,Female,High school or equivalent,"[50k,75k)",131571
2008,Female,High school or equivalent,"[75k,inf)",59350
2008,Female,College (<4year),No Income,451575
2008,Female,College (<4year),"[5k,10k)",327251
2008,Female,College (<4year),"[10k,15k)",334679
2008,Female,College (<4year),"[15k,25k)",497615
2008,Female,College (<4year),"[25k,35k)",496456
2008,Female,College (<4year),"[35k,50k)",536363
2008,Female,College (<4year),"[50k,75k)",345723
2008,Female,College (<4year),"[75k,inf)",179877
2008,Female,>=Bachelor,No Income,224757
2008,Female,>=Bachelor,"[5k,10k)",131590
2008,Female,>=Bachelor,"[10k,15k)",148626
2008,Female,>=Bachelor,"[15k,25k)",345795
2008,Female,>=Bachelor,"[25k,35k)",320338
2008,Female,>=Bachelor,"[35k,50k)",503031
2008,Female,>=Bachelor,"[50k,75k)",770798
2008,Female,>=Bachelor,"[75k,inf)",781211
2009,Male,< high school,No Income,280947
2009,Male,< high school,"[5k,10k)",229865
2009,Male,< high school,"[10k,15k)",278224
2009,Male,< high school,"[15k,25k)",534542
2009,Male,< high school,"[25k,35k)",307653
2009,Male,< high school,"[35k,50k)",247159
2009,Male,< high school,"[50k,75k)",79922
2009,Male,< high school,"[75k,inf)",48803
2009,Male,High school or equivalent,No Income,296927
2009,Male,High school or equivalent,"[5k,10k)",216871
2009,Male,High school or equivalent,"[10k,15k)",213345
2009,Male,High school or equivalent,"[15k,25k)",503750
2009,Male,High school or equivalent,"[25k,35k)",440200
2009,Male,High school or equivalent,"[35k,50k)",481130
2009,Male,High school or equivalent,"[50k,75k)",350784
2009,Male,High school or equivalent,"[75k,inf)",190948
2009,Male,College (<4year),No Income,212039
2009,Male,College (<4year),"[5k,10k)",235730
2009,Male,College (<4year),"[10k,15k)",288174
2009,Male,College (<4year),"[15k,25k)",392488
2009,Male,College (<4year),"[25k,35k)",375408
2009,Male,College (<4year),"[35k,50k)",486983
2009,Male,College (<4year),"[50k,75k)",584200
2009,Male,College (<4year),"[75k,inf)",521502
2009,Male,>=Bachelor,No Income,88688
2009,Male,>=Bachelor,"[5k,10k)",70367
2009,Male,>=Bachelor,"[10k,15k)",84122
2009,Male,>=Bachelor,"[15k,25k)",201713
2009,Male,>=Bachelor,"[25k,35k)",251200
2009,Male,>=Bachelor,"[35k,50k)",366170
2009,Male,>=Bachelor,"[50k,75k)",682775
2009,Male,>=Bachelor,"[75k,inf)",1497839
